,type-id,instance-id,timestamp,value
30467,263251,224285,2011-03-23,0.62
30491,263251,224285,2011-03-24,0.7
30515,263251,224285,2011-03-25,0.73
30539,263251,224285,2011-03-26,0.99
30563,263251,224285,2011-03-27,0.97
30587,263251,224285,2011-03-28,0.97
30611,263251,224285,2011-03-29,0.62
30635,263251,224285,2011-03-30,0.88
30659,263251,224285,2011-03-31,0.54
30683,263251,224285,2011-04-01,0.36
30707,263251,224285,2011-04-02,0.95
30731,263251,224285,2011-04-03,0.6
30755,263251,224285,2011-04-04,0.39
30779,263251,224285,2011-04-05,0.95
30803,263251,224285,2011-04-06,0.48
30827,263251,224285,2011-04-07,0.79
30851,263251,224285,2011-04-08,0.7
30875,263251,224285,2011-04-09,0.68
30899,263251,224285,2011-04-10,0.61
30923,263251,224285,2011-04-11,0.57
30947,263251,224285,2011-04-12,0.53
30971,263251,224285,2011-04-13,0.66
30995,263251,224285,2011-04-14,0.54
31019,263251,224285,2011-04-15,0.52
31043,263251,224285,2011-04-16,0.74
31067,263251,224285,2011-04-17,0.83
31091,263251,224285,2011-04-18,0.9
31115,263251,224285,2011-04-19,0.34
31139,263251,224285,2011-04-20,0.55
31163,263251,224285,2011-04-21,0.99
31187,263251,224285,2011-04-22,0.42
31211,263251,224285,2011-04-23,0.3
31235,263251,224285,2011-04-24,0.81
31259,263251,224285,2011-04-25,0.9
31283,263251,224285,2011-04-26,0.86
31307,263251,224285,2011-04-27,0.4
31331,263251,224285,2011-04-28,0.55
31355,263251,224285,2011-04-29,0.96
31379,263251,224285,2011-04-30,0.63
31403,263251,224285,2011-05-01,0.37
31427,263251,224285,2011-05-02,0.31
31451,263251,224285,2011-05-03,0.53
31475,263251,224285,2011-05-04,0.46
31499,263251,224285,2011-05-05,0.27
31523,263251,224285,2011-05-06,0.45
31547,263251,224285,2011-05-07,0.76
31571,263251,224285,2011-05-08,0.94
31595,263251,224285,2011-05-09,0.73
31619,263251,224285,2011-05-10,0.66
31643,263251,224285,2011-05-11,0.36
31667,263251,224285,2011-05-12,0.32
31691,263251,224285,2011-05-13,0.28
31715,263251,224285,2011-05-14,0.39
31739,263251,224285,2011-05-15,0.98
31763,263251,224285,2011-05-16,0.98
31787,263251,224285,2011-05-17,0.52
31811,263251,224285,2011-05-18,0.91
31835,263251,224285,2011-05-19,0.55
31859,263251,224285,2011-05-20,0.58
31883,263251,224285,2011-05-21,0.48
31907,263251,224285,2011-05-22,0.56
31931,263251,224285,2011-05-23,1.0
31955,263251,224285,2011-05-24,0.61
31979,263251,224285,2011-05-25,0.45
32003,263251,224285,2011-05-26,0.99
